LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-71.3249408,42.943755,,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000028000000,5218f6e48b175b83
-71.3224228,42.9516287,0434,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000028000002,148b131d5397bdd7
-71.3116123,42.9411667,0625,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000045000002,52dc553a88385a15
-71.3108687,42.9406978,0641,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000045000003,e6ac554c946a53eb
-71.3105617,42.9401844,0645,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000045000000,562794938b2d85d5
-71.3116855,42.9415796,0619,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000045000001,9a0d50b6c02479ed
-71.3350332,42.9581479,,WILSON'S CROSSING RD,,AUBURN,,NH,03032,000002000006000000,4b2349cb7da65a1e
-71.3410438,42.9609955,0337,WILSON'S CROSSING RD,,AUBURN,,NH,03032,000002000006000004,139241548e66d47b
-71.3415256,42.9605003,0341,WILSON'S CROSSING RD,,AUBURN,,NH,03032,000002000006000003,b576c09686adacf0
-71.3417207,42.9599337,0347,WILSON'S CROSSING RD,,AUBURN,,NH,03032,000002000006000002,5f05e7e8ec9df0cf
-71.3422276,42.9594444,0359,WILSON'S CROSSING RD,,AUBURN,,NH,03032,000002000006000001,59ac2729105f076a
-71.3299919,42.9538743,0075,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000008000000,3ee678a156dd7427
-71.3273827,42.9545601,0356,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000008000002,1f16222fd558c969
-71.3270651,42.9501676,0404,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000027000001,63b1bd86e4864197
-71.3299119,42.9565414,0021,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000008000006,d7812b036a554571
-71.3289904,42.9565438,0330,PINGREE HILL ROAD,,AUBURN,,NH,03032,000002000008000005,f19827a0277cb72b
